timestamp,pos_estimate,vel_estimate,torque_target,torque_estimate,iq_setpoint,iq_measured,active_errors,axis_state,procedure_result,trajectory_done_flag
0,3.203749656677246e-06,-0.022721098735928535,0.11968810111284256,0.0,-1.286375641822815,0.0,134218241,1,0,True
46229,9.267032146453857e-05,0.007759228348731995,0.11832195520401001,0.0,-1.2227766513824463,0.0,134218241,1,0,True
2885430,3.056973218917847e-05,-0.005932150408625603,0.11235958337783813,0.0,-1.275445580482483,0.0,134218241,1,0,True
8062393,7.922202348709106e-05,0.02136770822107792,0.11719927936792374,0.0,-1.1415550708770752,0.0,134218241,1,0,True
14208044,3.0666589736938477e-05,-0.008454171940684319,0.10489622503519058,0.0,-1.2865660190582275,0.0,134218241,1,0,True
18314464,4.278123378753662e-05,0.008218366652727127,0.11822112649679184,0.0,-1.205786108970642,0.0,134218241,1,0,True
23519856,5.6684017181396484e-05,0.013296868652105331,0.11079835146665573,0.0,-1.1837372779846191,0.0,134218241,1,0,True
28828806,4.4912099838256836e-05,-0.0015689042629674077,0.10877230763435364,0.0,-1.2690235376358032,0.0,134218241,1,0,True
33464260,9.045004844665527e-06,-0.006473249290138483,0.11660916358232498,0.0,-1.2827004194259644,0.0,134218241,1,0,True
38356515,4.782527685165405e-05,0.003193881129845977,0.1178659200668335,0.0,-1.237845540046692,0.0,134218241,1,0,True
43069754,6.952881813049316e-05,0.012621660716831684,0.11374425143003464,0.0,-1.194507122039795,0.0,134218241,1,0,True
49030047,7.025152444839478e-05,0.012360891327261925,0.10976193845272064,0.0,-1.201014757156372,0.0,134218241,1,0,True
53237841,0.00011363625526428223,0.02722293883562088,0.11035991460084915,0.0,-1.1231160163879395,0.0,134218241,1,0,True
58657567,-1.8045306205749512e-05,-0.011560127139091492,0.10320188850164413,0.0,-1.2448796033859253,0.0,134218241,1,0,True
63308826,6.462633609771729e-05,0.01766570843756199,0.1145051047205925,0.0,-1.1516635417938232,0.0,134218241,1,0,True
