timestamp,position,velocity,tau_fcomp,tau_imp,Goniometer,recording_flag
1746766056.9884312,0.0,0.0,0.0,0.0,0.0,0
1746766056.9950967,0.0,0.0,0.0,0.0,0.0,0
1746766056.9981122,0.0,0.0,0.0,0.0,0.0,0
1746766057.0016901,0.0,0.0,0.0,0.0,0.0,0
1746766057.0076644,0.0,0.0,0.0,0.0,0.0,0
1746766057.0176094,0.0,0.0,0.0,0.0,0.0,0
1746766057.0293312,0.0,0.0,0.0,0.0,0.0,0
1746766057.0377758,0.0,0.0,0.0,0.0,0.0,0
1746766057.048131,0.0,0.0,0.0,0.0,0.0,0
1746766057.0578976,0.0,0.0,0.0,0.0,0.0,0
1746766057.0684736,0.0,0.0,0.0,0.0,0.0,0
1746766057.0793915,0.0,0.0,0.0,0.0,0.0,0
1746766057.0867846,0.0,0.0,0.0,0.0,0.0,0
1746766057.09682,0.0,0.0,0.0,0.0,0.0,0
1746766057.1071987,0.0,0.0,0.0,0.0,0.0,0
1746766057.116823,0.0,0.0,0.0,0.0,0.0,0
1746766057.1269393,0.0,0.0,0.0,0.0,0.0,0
1746766057.1381326,0.0,0.0,0.0,0.0,0.0,0
1746766057.1465707,0.0,0.0,0.0,0.0,0.0,0
1746766057.1574984,0.0,0.0,0.0,0.0,0.0,0
1746766057.1669269,0.0,0.0,0.0,0.0,0.0,0
1746766057.1764524,0.0,0.0,0.0,0.0,0.0,0
1746766057.1867,0.0,0.0,0.0,0.0,0.0,0
1746766057.1969893,0.0,0.0,0.0,0.0,0.0,0
1746766057.2079399,0.0,0.0,0.0,0.0,0.0,0
1746766057.217427,0.0,0.0,0.0,0.0,0.0,0
1746766057.2271996,0.0,0.0,0.0,0.0,0.0,0
1746766057.2377708,0.0,0.0,0.0,0.0,0.0,0
1746766057.2468283,0.0,0.0,0.0,0.0,0.0,0
1746766057.2567608,0.0,0.0,0.0,0.0,0.0,0
1746766057.2673194,0.0,0.0,0.0,0.0,0.0,0
1746766057.2767854,0.0,0.0,0.0,0.0,0.0,0
1746766057.286879,0.0,0.0,0.0,0.0,0.0,0
