timestamp,goniometer,recording_flag
1746659791.1397495,0.0,0
1746659791.1533802,192487.0,0
1746659791.1636834,192604.0,0
1746659791.1714923,192642.0,0
1746659791.1835382,192443.0,0
1746659791.194604,192364.0,0
1746659791.206151,192867.0,0
1746659791.214247,192807.0,0
1746659791.2217827,192437.0,0
1746659791.232435,192820.0,0
1746659791.2431102,193071.0,0
1746659791.2517452,193015.0,0
1746659791.2613475,193131.0,0
1746659791.273433,193133.0,0
1746659791.2827344,192965.0,0
1746659791.2954292,193037.0,0
1746659791.3022192,193351.0,0
1746659791.311484,193234.0,0
1746659791.3214478,193597.0,0
1746659791.3314464,193475.0,0
1746659791.3420372,193245.0,0
1746659791.35096,193601.0,0
1746659791.3616853,193432.0,0
1746659791.371048,193816.0,0
1746659791.3823965,193994.0,0
1746659791.391865,193809.0,0
1746659791.4025629,193820.0,0
1746659791.4114726,194019.0,0
1746659791.4216583,193791.0,0
1746659791.43162,193875.0,0
1746659791.4421947,193921.0,0
1746659791.4526064,193597.0,0
1746659791.462406,193581.0,0
1746659791.471256,193582.0,0
1746659791.4813576,193834.0,0
1746659791.4906898,193223.0,0
1746659791.501617,193427.0,0
1746659791.513328,193798.0,0
1746659791.5219805,193233.0,0
1746659791.5306463,193272.0,0
1746659791.5406618,193251.0,0
1746659791.551842,193526.0,0
1746659791.5608733,193651.0,0
1746659791.5716255,193299.0,0
1746659791.582804,193010.0,0
1746659791.5919106,193123.0,0
1746659791.6010003,192774.0,0
1746659791.6119277,192824.0,0
1746659791.621021,192330.0,0
1746659791.6317196,191434.0,0
1746659791.6414678,190961.0,0
1746659791.6511412,190328.0,0
1746659791.6627688,188940.0,0
1746659791.6716385,187738.0,0
1746659791.6824145,186415.0,0
1746659791.692086,185699.0,0
1746659791.702381,184223.0,0
1746659791.7116203,183402.0,0
1746659791.721416,182464.0,0
1746659791.7315044,181904.0,0
1746659791.7417364,181547.0,0
1746659791.752393,181156.0,0
1746659791.7615685,181053.0,0
1746659791.7717972,180853.0,0
1746659791.7833438,181082.0,0
1746659791.7914534,181082.0,0
1746659791.8016677,181270.0,0
1746659791.8110304,181544.0,0
1746659791.8211093,181688.0,0
1746659791.8316066,181665.0,0
1746659791.8410323,181771.0,0
1746659791.8511918,181966.0,0
1746659791.8614268,182332.0,0
1746659791.8708973,181956.0,0
1746659791.8819227,182315.0,0
1746659791.8906584,181972.0,0
1746659791.9014962,181562.0,0
1746659791.9113033,181381.0,0
1746659791.9219313,181389.0,0
1746659791.9318464,180846.0,0
1746659791.94131,181043.0,0
1746659791.95111,180605.0,0
1746659791.961517,180285.0,0
1746659791.9718838,179910.0,0
1746659791.9830596,180028.0,0
1746659791.9907575,179235.0,0
1746659792.0014055,179304.0,0
1746659792.011615,178764.0,0
1746659792.0221796,178395.0,0
1746659792.031127,178079.0,0
1746659792.0430863,177415.0,0
1746659792.0513234,177020.0,0
1746659792.061298,175846.0,0
1746659792.071855,175407.0,0
1746659792.0828235,175036.0,0
1746659792.091112,174464.0,0
1746659792.1007807,173028.0,0
1746659792.111803,173181.0,0
1746659792.124238,172890.0,0
1746659792.1314392,172512.0,0
1746659792.141405,171767.0,0
1746659792.1520329,171748.0,0
1746659792.1613803,171086.0,0
1746659792.1712599,170883.0,0
1746659792.1816807,169991.0,0
1746659792.1915412,169757.0,0
1746659792.2012448,169012.0,0
1746659792.210661,168887.0,0
1746659792.2216952,168518.0,0
1746659792.2313073,167956.0,0
1746659792.242017,167723.0,0
1746659792.250648,167480.0,0
1746659792.2609136,167069.0,0
1746659792.2718596,167016.0,0
1746659792.2807834,167274.0,0
1746659792.2914808,166533.0,0
1746659792.3013234,166694.0,0
1746659792.3119116,166351.0,0
1746659792.321032,166480.0,0
1746659792.3309557,166769.0,0
1746659792.3424609,166097.0,0
1746659792.352116,165910.0,0
1746659792.361622,166125.0,0
1746659792.370815,165636.0,0
1746659792.3826044,165794.0,0
1746659792.390908,165764.0,0
1746659792.4017594,165928.0,0
1746659792.411702,166065.0,0
1746659792.423197,165736.0,0
1746659792.4312198,165623.0,0
1746659792.441547,165165.0,0
1746659792.452723,165252.0,0
1746659792.4606998,165387.0,0
1746659792.4711423,165152.0,0
