timestamp,goniometer,recording_flag
1746661227.7739592,0.0,0
1746661227.7841656,71080.0,0
1746661227.7940457,70966.0,0
1746661227.8042696,71347.0,0
1746661227.8147779,71234.0,0
1746661227.8247342,71761.0,0
1746661227.83439,71572.0,0
1746661227.8448887,71621.0,0
1746661227.8554409,71727.0,0
1746661227.8639917,72164.0,0
1746661227.8760877,72176.0,0
1746661227.8842382,71893.0,0
1746661227.893536,71973.0,0
1746661227.9052687,72098.0,0
1746661227.914385,71797.0,0
1746661227.924036,72092.0,0
1746661227.9334393,71839.0,0
1746661227.9433658,72056.0,0
1746661227.9562263,72012.0,0
1746661227.9637792,72383.0,0
1746661227.9738562,71932.0,0
1746661227.9841738,72461.0,0
1746661227.9949837,72231.0,0
1746661228.0037656,72067.0,0
1746661228.016475,71857.0,0
1746661228.0249789,72463.0,0
1746661228.03419,72545.0,0
1746661228.0443683,74243.0,0
1746661228.0546646,77264.0,0
1746661228.0643394,80055.0,0
1746661228.0752833,83795.0,0
1746661228.0866659,84822.0,0
1746661228.0957458,86797.0,0
1746661228.1040332,88364.0,0
1746661228.1150997,91340.0,0
1746661228.123778,93997.0,0
1746661228.1339538,96735.0,0
1746661228.1448166,98017.0,0
1746661228.1541095,99606.0,0
1746661228.1644332,101215.0,0
1746661228.1746066,103451.0,0
1746661228.1852942,105797.0,0
1746661228.1946552,106824.0,0
1746661228.2064955,107795.0,0
1746661228.215516,108903.0,0
1746661228.2246614,110455.0,0
1746661228.2343423,111675.0,0
1746661228.244173,112374.0,0
1746661228.2545733,113450.0,0
1746661228.2636561,114263.0,0
1746661228.2739248,115093.0,0
1746661228.2843502,116076.0,0
1746661228.293986,116783.0,0
1746661228.3039072,117580.0,0
1746661228.3136363,118029.0,0
1746661228.324268,118465.0,0
1746661228.3362637,119325.0,0
1746661228.3434954,119323.0,0
1746661228.3541775,119871.0,0
1746661228.364641,120340.0,0
1746661228.3741636,120545.0,0
1746661228.3860576,120795.0,0
1746661228.4003847,120699.0,0
1746661228.4068286,121201.0,0
1746661228.417685,121483.0,0
1746661228.4249434,120947.0,0
1746661228.4361424,120943.0,0
1746661228.4442914,121029.0,0
1746661228.4569428,121031.0,0
1746661228.4642563,120868.0,0
1746661228.4898746,120636.0,0
1746661228.4952219,120617.0,0
1746661228.5056963,120570.0,0
1746661228.5137243,120447.0,0
1746661228.5243702,119764.0,0
1746661228.5337892,118704.0,0
1746661228.5459046,118521.0,0
1746661228.555414,117496.0,0
1746661228.5642824,116929.0,0
1746661228.573452,115453.0,0
1746661228.5864968,114633.0,0
1746661228.5943706,113374.0,0
1746661228.6046183,112533.0,0
1746661228.613947,111101.0,0
